competition,edition,confederation,confederation_bucket,country,nt_shirt_no,position_primary,is_star,name_en,birth_date,height_cm,current_club,snapshot_date,name_ja,national_debut,source,notes
WC,2026,AFC,QUALIFIED,Japan,,GK,,Zion Suzuki,2002/8/21,190,パルマ・カルチョ 1913,2026-02-07,Zion Suzuki,2022/7/19,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,12,GK,,Leo Kokubo,2001/1/23,193,シント＝トロイデンVV,2026-02-07,Leo Kokubo,,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,GK,,Keisuke Osako,1999/7/28,190,サンフレッチェ広島F.C,2026-02-07,Keisuke Osako,2019/6/18,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,GK,,Kosei Tani,2000/11/22,187,FC町田ゼルビア,2026-02-07,Kosei Tani,2022/7/27,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,1,GK,,Tomoki Hayakawa,1999/3/3,187,鹿島アントラーズ,2026-02-07,Tomoki Hayakawa,2025/7/12,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,23,GK,,Taishi Brandon Nozawa,2002/12/25,193,ロイヤル・アントワープFC,2026-02-07,Taishi Brandon Nozawa,,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,GK,,Alexandre Pisano,2006/1/10,197,名古屋グランパス,2026-02-07,Alexandre Pisano,2025/7/8,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Hiroki Ito,1999/5/12,188,バイエルン・ミュンヘン,2026-02-07,Hiroki Ito,2022/6/2,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,4,DF,,Ko Itakura,1997/1/27,188,アヤックス・アムステルダム,2026-02-07,Ko Itakura,2019/6/21,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Koki Machida,1997/8/25,190,TSG1899ホッフェンハイム,2026-02-07,Koki Machida,2023/9/12,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,5,DF,,Tsuyoshi Watanabe,1997/2/5,186,フェイエノールト・ロッテルダム,2026-02-07,Tsuyoshi Watanabe,2019/12/14,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Hayato Araki,1996/8/7,186,サンフレッチェ広島F.C,2026-02-07,Hayato Araki,2022/7/24,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,3,DF,,Shogo Taniguchi,1991/7/15,183,シント＝トロイデンVV,2026-02-07,Shogo Taniguchi,2015/6/11,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Naomichi Ueda,1994/10/24,186,鹿島アントラーズ,2026-02-07,Naomichi Ueda,2017/12/12,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Yuta Nakayama,1997/2/16,181,FC町田ゼルビア,2026-02-07,Yuta Nakayama,2019/6/18,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Taiyo Koga,1998/10/28,183,柏レイソル,2026-02-07,Taiyo Koga,2019/12/14,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Kota Takai,2004/9/4,192,ボルシア・メンヒェングラートバッハ,2026-02-07,Kota Takai,2024/9/5,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Yuto Tsunashima,2000/8/15,188,ロイヤル・アントワープFC,2026-02-07,Yuto Tsunashima,2025/7/12,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,16,DF,,Tomoya Ando,1999/1/10,190,FCザンクトパウリ,2026-02-07,Tomoya Ando,2025/7/8,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,25,DF,,Junnosuke Suzuki,2003/7/12,180,FCコペンハーゲン,2026-02-07,Junnosuke Suzuki,2025/6/10,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Yuto Nagatomo,1986/9/12,170,FC東京,2026-02-07,Yuto Nagatomo,2008/5/24,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,2,DF,,Yukinari Sugawara,2000/6/28,179,ヴェルダー・ブレーメン,2026-02-07,Yukinari Sugawara,2020/10/9,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Daiki Hashioka,1999/5/17,184,KAAヘント,2026-02-07,Daiki Hashioka,2019/12/10,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Hiroki Sekine,2002/8/11,187,スタッド・ランス,2026-02-07,Hiroki Sekine,2025/6/5,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,,DF,,Henry Heroki Mochizuki,2001/9/20,192,FC町田ゼルビア,2026-02-07,Henry Heroki Mochizuki,2025/7/8,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,6,MF,,Wataru Endo,1993/2/9,178,リヴァプールFC,2026-02-07,Wataru Endo,2015/8/2,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,21,MF,,Kaishu Sano,2000/12/30,176,1.FSVマインツ05,2026-02-07,Kaishu Sano,2023/11/16,Transfermarkt (copypaste),
WC,2026,AFC,QUALIFIED,Japan,22,MF,,Ayumu Seko,2000/6/7,186,ACル・アーヴル,2026-02-07,Ayumu Seko,2023/3/24,Transfermarkt (copypaste),
