season,window,league,club,club_key,club_shirt_no,position_primary,is_star,name_en,birth_date,height_cm,snapshot_date,name_ja,nationality,foot,join_date,prev_club,contract_until,source,notes,league_key
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,12,GK,,Viljami Sinisalo,2001/10/11,190,2026/2/7,Viljami Sinisalo,Finland,右,2024/7/16,アストン・ヴィラFC,2029/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,1,GK,,Kasper Schmeichel,1986/11/5,189,2026/2/7,Kasper Schmeichel,Denmark,右,2024/7/18,RSCアンデルレヒト,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,31,GK,,Ross Doohan,1998/3/29,186,2026/2/7,Ross Doohan,Scotland,右,2025/7/1,アバディーンFC,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,20,DF,,Cameron Carter-Vickers,1997/12/31,183,2026/2/7,Cameron Carter-Vickers,United States / England,右,2022/7/1,トッテナム・ホットスパー,2029/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,5,DF,,Liam Scales,1998/8/8,187,2026/2/7,Liam Scales,Ireland,左,2021/8/27,シャムロック・ローヴァーズ,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,6,DF,,Auston Trusty,1998/8/12,190,2026/2/7,Auston Trusty,United States,左,2024/8/30,シェフィールド・ユナイテッドFC,2029/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,47,DF,,Dane Murray,2003/6/26,193,2026/2/7,Dane Murray,Scotland,右,2025/7/1,セルティックFCリザーブ,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,43,DF,,Benjamin Arthur,2005/10/9,192,2026/2/7,Benjamin Arthur,England,右,2026/2/2,ブレントフォードFC,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,63,DF,,Kieran Tierney,1997/6/5,180,2026/2/7,Kieran Tierney,Scotland / Isle of Man,左,2025/7/1,アーセナルFC,,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,36,DF,,Marcelo Saracchi,1998/4/23,172,2026/2/7,Marcelo Saracchi,Uruguay,左,2025/8/29,クルブ・アトレティコ・ボカ・ジュニアーズ,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,37,DF,,Adam Montgomery,2002/7/18,173,2026/2/7,Adam Montgomery,Scotland,左,2021/7/1,セルティックFCリザーブ,2027/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,22,DF,,Julián Araujo,2001/8/13,176,2026/2/7,Julián Araujo,Mexico / United States,右,2026/1/2,AFCボーンマス,2026/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,2,DF,,Alistair Johnston,1998/10/8,180,2026/2/7,Alistair Johnston,Canada / Northern Ireland,右,2023/1/1,CFモントリオール,2029/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,56,DF,,Anthony Ralston,1998/11/16,178,2026/2/7,Anthony Ralston,Scotland,右,2018/7/1,Celtic Glasgow U20,2027/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,51,DF,,Colby Donovan,2006/9/7,,2026/2/7,Colby Donovan,Scotland,,2025/7/1,セルティックFCリザーブ,,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,42,MF,,Callum McGregor,1993/6/14,178,2026/2/7,Callum McGregor,Scotland,左,2013/7/1,Celtic Glasgow U20,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,41,MF,,Reo Hatate,1997/11/21,172,2026/2/7,Reo Hatate,Japan,右,2022/1/1,川崎フロンターレ,2028/5/31,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,27,MF,,Arne Engels,2003/9/8,185,2026/2/7,Arne Engels,Belgium,右,2024/8/30,FCアウクスブルク,2028/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,28,MF,,Paulo Bernardo,2002/1/24,180,2026/2/7,Paulo Bernardo,Portugal,右,2024/8/1,SLベンフィカ,2029/6/30,Transfermarkt (copypaste),,scottish-premiership
2025-26,winter,Scottish Premiership,セルティック,scottish-premiership-celtic,14,MF,,Luke McCowan,1997/12/9,177,2026/2/7,Luke McCowan,Scotland,左,2024/8/30,ダンディーFC,2027/5/31,Transfermarkt (copypaste),,scottish-premiership
