competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,1998,WC-1998-Japan-Jamaica,1,GOAL,日本,中山雅史,呂比須ワグナー,59,2H,GL3,ジャマイカ,
WC,2002,WC-2002-Japan-Belgium,1,GOAL,日本,鈴木隆行,小野伸二,59,2H,GL1,ベルギー,
WC,2002,WC-2002-Japan-Belgium,2,GOAL,日本,稲本潤一,三都主アレサンドロ,67,2H,GL1,ベルギー,
WC,2002,WC-2002-Japan-Russia,1,GOAL,日本,稲本潤一,柳沢敦,51,2H,GL2,ロシア,
WC,2002,WC-2002-Japan-Tunisia,1,GOAL,日本,森島寛晃,,48,2H,GL3,チュニジア,
WC,2002,WC-2002-Japan-Tunisia,2,GOAL,日本,中田英寿,市川大祐,75,2H,GL3,チュニジア,
WC,2006,WC-2006-Japan-Australia,1,GOAL,日本,中村俊輔,,26,1H,GL1,オーストラリア,
WC,2006,WC-2006-Japan-Brazil,1,GOAL,日本,玉田圭司,三都主アレサンドロ,34,2H,GL3,ブラジル,
WC,2010,WC-2010-Japan-Cameroon,1,GOAL,日本,本田圭佑,松井大輔,39,1H,GL1,カメルーン,
WC,2010,WC-2010-Japan-Denmark,1,GOAL,日本,本田圭佑,,17,1H,GL3,デンマーク,
WC,2010,WC-2010-Japan-Denmark,2,GOAL,日本,遠藤保仁,,31,1H,GL3,デンマーク,
WC,2010,WC-2010-Japan-Denmark,3,GOAL,日本,岡崎慎司,本田圭佑,87,2H,GL3,デンマーク,
WC,2014,WC-2014-Japan-C?te d'Ivoire,1,GOAL,日本,本田圭佑,長友佑都,16,1H,GL1,コートジボワール,
WC,2014,WC-2014-Japan-Columbia,1,GOAL,日本,岡崎慎司,本田圭佑,46,1H,GL3,コロンビア,
WC,2018,WC-2018-Japan-Columbia,2,GOAL,日本,香川真司,,6,1H,GL1,コロンビア,
WC,2018,WC-2018-Japan-Columbia,3,GOAL,日本,大迫勇也,本田圭佑,73,2H,GL1,コロンビア,
WC,2018,WC-2018-Japan-Senegal,1,GOAL,日本,乾貴士,長友佑都,34,1H,GL2,セネガル,
WC,2018,WC-2018-Japan-Senegal,2,GOAL,日本,本田圭佑,乾貴士,78,2H,GL2,セネガル,
WC,2018,WC-2018-Japan-Belgium,1,GOAL,日本,原口元気,柴崎岳,48,2H,R16,ベルギー,
WC,2018,WC-2018-Japan-Belgium,2,GOAL,日本,乾貴士,香川真司,52,2H,R16,ベルギー,
WC,2022,WC-2022-Japan-Germany,1,GOAL,日本,堂安律,,75,2H,GL1,ドイツ,
WC,2022,WC-2022-Japan-Germany,2,GOAL,日本,浅野拓磨,,83,2H,GL1,ドイツ,
WC,2022,WC-2022-Japan-Spain,1,GOAL,日本,堂安律,,48,2H,GL3,スペイン,
WC,2022,WC-2022-Japan-Spain,2,GOAL,日本,田中碧,,51,2H,GL3,スペイン,
WC,2022,WC-2022-MD001,1,GOAL,エクアドル,Enner Valencia,,16,1H,GL1,カタール,PK
WC,2022,WC-2022-MD001,2,GOAL,エクアドル,Enner Valencia,,31,1H,GL1,カタール,
WC,2022,WC-2022-MD007,1,GOAL,イングランド,Jude Bellingham,,35,1H,GL1,イラン,
WC,2022,WC-2022-MD007,2,GOAL,イングランド,Bukayo Saka,,43,1H,GL1,イラン,
WC,2022,WC-2022-MD007,3,GOAL,イングランド,Raheem Sterling,,45+1,1H,GL1,イラン,
WC,2022,WC-2022-MD007,4,GOAL,イングランド,Bukayo Saka,,62,2H,GL1,イラン,
WC,2022,WC-2022-MD007,5,GOAL,イラン,Mehdi Taremi,,65,2H,GL1,イングランド,
WC,2022,WC-2022-MD007,6,GOAL,イングランド,Marcus Rashford,,71,2H,GL1,イラン,
WC,2022,WC-2022-MD007,7,GOAL,イングランド,Jack Grealish,,90,2H,GL1,イラン,
WC,2022,WC-2022-MD007,8,GOAL,イラン,Mehdi Taremi,,90+13,2H,GL1,イングランド,PK
WC,2022,WC-2022-MD002,1,GOAL,オランダ,Cody Gakpo,,84,2H,GL1,セネガル,
WC,2022,WC-2022-MD002,2,GOAL,オランダ,Davy Klaassen,,90+9,2H,GL1,セネガル,
WC,2022,WC-2022-MD008,1,GOAL,アメリカ,Timothy Weah,,36,1H,GL1,ウェールズ,
WC,2022,WC-2022-MD008,2,GOAL,ウェールズ,Gareth Bale,,82,2H,GL1,アメリカ,PK
WC,2022,WC-2022-MD013,1,GOAL,アルゼンチン,Lionel Messi,,10,1H,GL1,サウジアラビア,PK
WC,2022,WC-2022-MD013,2,GOAL,サウジアラビア,Saleh Al-Shehri,,48,2H,GL1,アルゼンチン,
WC,2022,WC-2022-MD013,3,GOAL,サウジアラビア,Salem Al-Dawsari,,53,2H,GL1,アルゼンチン,
WC,2022,WC-2022-MD020,1,GOAL,オーストラリア,Craig Goodwin,,9,1H,GL1,フランス,
WC,2022,WC-2022-MD020,2,GOAL,フランス,Adrien Rabiot,,27,1H,GL1,オーストラリア,
WC,2022,WC-2022-MD020,3,GOAL,フランス,Olivier Giroud,,32,1H,GL1,オーストラリア,
WC,2022,WC-2022-MD020,4,GOAL,フランス,Kylian Mbappé,,68,2H,GL1,オーストラリア,
WC,2022,WC-2022-MD020,5,GOAL,フランス,Olivier Giroud,,71,2H,GL1,オーストラリア,
WC,2022,WC-2022-MD025,1,GOAL,ドイツ,İlkay Gündoğan,,33,1H,GL1,日本,PK
WC,2022,WC-2022-MD025,2,GOAL,日本,Ritsu Dōan,,75,2H,GL1,ドイツ,
WC,2022,WC-2022-MD025,3,GOAL,日本,Takuma Asano,,83,2H,GL1,ドイツ,
WC,2022,WC-2022-MD026,1,GOAL,スペイン,Dani Olmo,,11,1H,GL1,コスタリカ,
WC,2022,WC-2022-MD026,2,GOAL,スペイン,Marco Asensio,,21,1H,GL1,コスタリカ,
