year,rank,player_name_ja,points,notes,competition1,edition1,competition2,edition2,nationality_override,position_override,club1_override,club1_league_key,club1_season,club2_override,club2_league_key,club2_season,cup_competition,cup_edition
2025,1,ウスマン・デンベレ,1380,リーグ・アン 得点王 | CL MVP,,,,,,,,,,,,,UCL,24-25
2025,2,ラミン・ヤマル,1059,,,,,,,,,,,,,,UCL,24-25
2025,3,ヴィティーニャ,703,,,,,,,,,,,,,,UCL,24-25
2025,4,モハメド・サラー,657,プレミアリーグ 得点王,,,,,,,,,,,,,,
2025,5,ハフィーニャ,620,CL 得点王,,,,,,,,,,,,,UCL,24-25
2025,6,アクラフ・ハキミ,484,,,,,,,,,,,,,,UCL,24-25
2025,7,キリアン・エムバペ,378,ラ・リーガ 得点王,,,,,,,,,,,,,UCL,24-25
2025,8,コール・パーマー,211,,,,,,,,,,,,,,,
2025,9,ジャンルイジ・ドンナルンマ,172,,,,,,,,,,,,,,UCL,24-25
2025,10,ヌーノ・メンデス,171,,,,,,,,,,,,,,UCL,24-25
2025,11,ペドリ,124,,,,,,,,,,,,,,,
2025,12,フヴィチャ・クヴァラツヘリア,123,,,,,,,,,,,,,,UCL,24-25
2025,13,ハリー・ケイン,112,ブンデスリーガ 得点王,,,,,,,,,,,,,UCL,24-25
2025,14,デジレ・ドゥエ,74,CL 最優秀若手選手,,,,,,,,,,,,,UCL,24-25
2025,15,ヴィクトル・ギェケレシュ,56,,,,,,,,,,,,,,,
2025,16,ヴィニシウス・ジュニオール,51,,,,,,,,,,,,,,UCL,24-25
2025,17,ロベルト・レヴァンドフスキ,49,,,,,,,,,,,,,,UCL,24-25
2025,18,スコット・マクトミネイ,45,,,,,,,,,,,,,,,
2025,19,ジョアン・ネヴィス,40,,,,,,,,,,,,,,UCL,24-25
2025,20,ラウタロ・マルティネス,37,,,,,,,,,,,,,,UCL,24-25
2025,21,セール・ギラシ,25,CL 得点王,,,,,,,,,,,,,UCL,24-25
2025,22,アレクシス・マック・アリスター,21,,,,,,,,,,,,,,,
2025,23,ジュード・ベリンガム,21,,,,,,,,,,,,,,,
2025,24,ファビアン・ルイス,20,,,,,,,,,,,,,,UCL,24-25
2025,25,デンゼル・ダンフリース,20,,,,,,,,,,,,,,UCL,24-25
2025,26,エルリング・ブラウト・ホランド,18,,,,,,,,,,,,,,UCL,24-25
2025,27,デクラン・ライス,13,,,,,,,,,,,,,,UCL,24-25
2025,28,フィルジル・ファン・ダイク,7,,,,,,,,,,,,,,,
2025,29,フロリアン・ヴィルツ,5,,,,,,,,,,,,,,,
2025,30,ミカエル・オリーズ,4,,,,,,,,,,,,,,,
2024,1,ロドリ,1170,EURO 最優秀選手,EURO,2024,,,,,,,,,,,UCL,23-24
2024,2,ヴィニシウス・ジュニオール,1129,CL MVP,,,,,,,,,,,,,UCL,23-24
2024,3,ジュード・ベリンガム,917,CL 最優秀若手選手,EURO,2024,,,,,,,,,,,UCL,23-24
2024,4,ダニ・カルバハル,550,,EURO,2024,,,,,,,,,,,UCL,23-24
2024,5,エルリング・ブラウト・ホランド,432,プレミアリーグ 得点王,,,,,,,,,,,,,UCL,23-24
2024,6,キリアン・エムバペ,420,リーグ・アン/CL 得点王,,,,,,,,,,,,,UCL,23-24
2024,7,ラウタロ・マルティネス,402,セリエA/コパ・アメリカ 得点王,COPA,2024,,,,,,,,,,,,
2024,8,ラミン・ヤマル,383,EURO 最優秀若手選手,EURO,2024,,,,,,,,,,,,
2024,9,トニ・クロース,291,,,,,,,,,,,,,,UCL,23-24
2024,10,ハリー・ケイン,201,ブンデスリーガ/CL/EURO 得点王,EURO,2024,,,,,,,,,,,UCL,23-24
2024,11,フィル・フォーデン,157,,,,,,,,,,,,,,,
2024,12,フロリアン・ヴィルツ,101,,EURO,2024,,,,,,,,,,,UEL,23-24
2024,13,ダニ・オルモ,86,EURO 得点王,EURO,2024,,,,,,,,,,,,
2024,14,アデモラ・ルックマン,82,,AFCON,2023,,,,,,,,,,,UEL,23-24
2024,15,ニコ・ウィリアムズ,73,,EURO,2024,,,,,,,,,,,,
2024,16,グラニト・ジャカ,60,,EURO,2024,,,,,,,,,,,UEL,23-24
2024,17,フェデリコ・バルベルデ,58,,COPA,2024,,,,,,,,,,,UCL,23-24
2024,18,エミリアーノ・マルティネス,28,コパ・アメリカ 最優秀GK,COPA,2024,,,,,,,,,,,,
2024,19,マルティン・ウーデゴール,16,,,,,,,,,,,,,,,
2024,20,ハカン・チャルハノール,15,,,,,,,,,,,,,,,
2024,21,ブカヨ・サカ,14,,EURO,2024,,,,,,,,,,,,
2024,22,アントニオ・リュディガー,13,,,,,,,,,,,,,,UCL,23-24
2024,23,ルベン・ディアス,8,,,,,,,,,,,,,,,
2024,24,ウィリアン・サリバ,8,,,,,,,,,,,,,,,
2024,25,コール・パーマー,7,,EURO,2024,,,,,,,,,,,,
2024,26,デクラン・ライス,5,,EURO,2024,,,,,,,,,,,,
2024,27,ヴィティーニャ,5,,,,,,,,,,,,,,UCL,23-24
2024,28,アレハンドロ・グリマルド,2,,,,,,,,,,,,,,UEL,23-24
2024,29,マッツ・フメルス,,,,,,,,,,,,,,,UCL,23-24
2024,29,アルテム・ドフビク,,ラ・リーガ 得点王,,,,,,,,,,,,,,
2023,1,リオネル・メッシ,462,WC ゴールデンボール,WC,2022,,,,,,,,,,,,
2023,2,エルリング・ブラウト・ホランド,357,プレミアリーグ/CL 得点王,,,,,,,,,,,,,UCL,22-23
2023,3,キリアン・エムバペ,270,リーグ・アン 得点王 | WC シルバーボール/得点王,WC,2022,,,,,,,,,,,UCL,22-23
2023,4,ケヴィン・デ・ブライネ,100,,,,,,,,,,,,,,UCL,22-23
2023,5,ロドリ,57,CL MVP,,,,,,,,,,,,,UCL,22-23
2023,6,ヴィニシウス・ジュニオール,49,,,,,,,,,,,,,,UCL,22-23
2023,7,フリアン・アルバレス,28,,WC,2022,,,,,,,,,,,UCL,22-23
2023,8,ヴィクター・オシムヘン,24,セリエA 得点王,,,,,,,,,,,,,,
2023,9,ベルナルド・シウバ,20,,,,,,,,,,,,,,UCL,22-23
2023,10,ルカ・モドリッチ,19,WC ブロンズボール,WC,2022,,,,,,,,,,,,
2023,11,モハメド・サラー,13,,,,,,,,,,,,,,UCL,22-23
2023,12,ロベルト・レヴァンドフスキ,12,ラ・リーガ 得点王,,,,,,,,,,,,,,
2023,13,ヤシン・ブヌ,10,EL MVP,WC,2022,,,,,,,,,,,UEL,22-23
2023,14,イルカイ・ギュンドアン,8,,,,,,,,,,,,,,UCL,22-23
2023,15,エミリアーノ・マルティネス,7,WC 最優秀GK,WC,2022,,,,,,,,,,,,
2023,16,カリム・ベンゼマ,6,,,,,,,,,,,,,,,
2023,17,フヴィチャ・クヴァラツヘリア,6,CL 最優秀若手選手,,,,,,,,,,,,,UCL,22-23
2023,18,ジュード・ベリンガム,5,,WC,2022,,,,,,,,,,,,
2023,19,ハリー・ケイン,4,,,,,,,,,,,,,,,
2023,20,ラウタロ・マルティネス,4,,,,,,,,,,,,,,UCL,22-23
2023,21,アントワヌ・グリエズマン,4,,,,,,,,,,,,,,,
2023,22,金玟哉,3,,,,,,,,,,,,,,UCL,22-23
2023,23,アンドレ・オナナ,2,,,,,,,,,,,,,,UCL,22-23
2023,24,ブカヨ・サカ,1,,WC,2022,,,,,,,,,,,,
2023,25,ヨシュコ・グヴァルディオル,1,,WC,2022,,,,,,,,,,,,
2023,26,ジャマル・ムシアラ,,,,,,,,,,,,,,,,
2023,27,ニコロ・バレッラ,,,,,,,,,,,,,,,UCL,22-23
