club_key,decade,player1,player2,player3,player4,player5,
lyon,1990,,,,,,
lyon,2000,グレゴリー・クーペ ,シドニー・ゴブ ,ジュニーニョ・ペルナンブカーノ,,,
lyon,2010,アレクサンドル・ラカゼット,ナビル・フェキル,メンフィス・デパイ,,,
lyon,2020,マクサンス・カクレ,ラヤン・シェルキ ,,,,
lille,1990,,,,,,
lille,2000,グレゴリー・タフォロー,ジャン・マクーン,ヨアン・キャバイェ,,,
lille,2010,リオ・マヴュバ,エデン・アザール,ニコラ・ペペ,,,
lille,2020,ジョゼ・フォンテ,バンジャマン・アンドレ,ジョナサン・デイビッド,,,
real-madrid,1990,マヌエル・サンチス,ミチェル,フェルナンド・イエロ,フェルナンド・レドンド,プレドラグ・ミヤトヴィッチ,
real-madrid,2000,ラウール・ゴンサレス,ロベルト・カルロス,ルイス・フィーゴ,ジネディーヌ・ジダン,ロナウド,
real-madrid,2010,イケル・カシージャス,クリスティアーノ・ロナウド,セルヒオ・ラモス,マルセロ,ルカ・モドリッチ,
real-madrid,2020,カリム・ベンゼマ,トニ・クロース,ティボー・クルトワ,ヴィニシウス・ジュニオール,ジュード・ベリンガム,
barcelona,1990,ロナルド・クーマン,フリスト・ストイチコフ,ジョゼップ・グアルディオラ,ルイス・フィーゴ,リバウド,
barcelona,2000,ルイス・エンリケ,カルレス・プジョル,ロナウジーニョ,サミュエル・エトー,デコ,
barcelona,2010,シャビ,リオネル・メッシ,アンドレス・イニエスタ,セルヒオ・ブスケツ,ルイス・スアレス,
barcelona,2020,ペドリ,ロベルト・レヴァンドフスキ,ラフィーニャ,ラミン・ヤマル,,
atletico-madrid,1990,アベル・レシーノ,キコ,ディエゴ・シメオネ,,,
atletico-madrid,2000,フェルナンド・トーレス,セルヒオ・アグエロ,ディエゴ・フォルラン,,,
atletico-madrid,2010,ガビ,ディエゴ・ゴディン,アントワーヌ・グリーズマン,,,
atletico-madrid,2020,コケ,ヤン・オブラク,ルイス・スアレス,,,
real-sociedad,1990,,,,,,
real-sociedad,2000,ハビエル・デ・ペドロ,シャビ・アロンソ,ニハト・カフヴェジ,,,
real-sociedad,2010,シャビ・プリエト,アントワーヌ・グリーズマン,カルロス・ベラ,,,
real-sociedad,2020,ミケル・オヤルサバル,マルティン・スビメンディ,久保建英,,,
juventus,1990,ロベルト・バッジョ,ジャンルカ・ヴィアッリ,チーロ・フェラーラ,ディディエ・デシャン,ジネディーヌ・ジダン,
juventus,2000,アレッサンドロ・デル・ピエロ,エドガー・ダーヴィッツ,パベル・ネドヴェド,ダヴィド・トレゼゲ,マウロ・カモラネージ,
juventus,2010,ジャンルイジ・ブッフォン,アンドレア・ピルロ,ジョルジョ・キエッリーニ,クラウディオ・マルキージオ,パウロ・ディバラ,
juventus,2020,フェデリコ・キエーザ,ドゥシャン・ヴラホヴィッチ,,,,
milan,1990,フランコ・バレージ,アレッサンドロ・コスタクルタ,デヤン・サヴィチェヴィッチ,ズボニミール・ボバン,ジョージ・ウェア,
milan,2000,パオロ・マルディーニ,アンドリー・シェフチェンコ,クラレンス・セードルフ,アンドレア・ピルロ,カカ,
milan,2010,ズラタン・イブラヒモヴィッチ,チアゴ・シウバ,リッカルド・モントリーヴォ,本田圭佑,ジャンルイジ・ドンナルンマ,
milan,2020,テオ・エルナンデス,ラファエル・レオン,マイク・メニャン,,,
inter,1990,ジュゼッペ・ベルゴミ,ローター・マテウス,ワルテル・ゼンガ,ユーリ・ジョルカエフ,ロナウド,
inter,2000,ハビエル・サネッティ,クリスティアン・ヴィエリ,エステバン・カンビアッソ,デヤン・スタンコヴィッチ,ズラタン・イブラヒモヴィッチ,
inter,2010,ディエゴ・ミリート,ヴェスレイ・スナイデル,サミュエル・エトー,長友佑都,マウロ・イカルディ,
inter,2020,マルセロ・ブロゾヴィッチ,ラウタロ・マルティネス,ニコロ・バレッラ,アレッサンドロ・バストーニ,ハカン・チャルハノール,
roma,1990,ジュゼッペ・ジャンニーニ,アウダイール,,,,
roma,2000,フランチェスコ・トッティ,ガブリエル・バティストゥータ,中田英寿,カフー,ヴィンチェンツォ・モンテッラ,
roma,2010,ダニエレ・デ・ロッシ,ミラレム・ピャニッチ,ラジャ・ナインゴラン,モハメド・サラー,エディン・ジェコ,
roma,2020,ロレンツォ・ペッレグリーニ,パウロ・ディバラ,,,,
paris-saint-germain,1990,ダヴィド・ジノラ,ジョージ・ウェア,ライー,ベルナール・ラマ,,
paris-saint-germain,2000,ロナウジーニョ,ペドロ・パウレタ,リュドヴィク・ジュリ,,,
paris-saint-germain,2010,ズラタン・イブラヒモヴィッチ,チアゴ・シウバ,エディンソン・カバーニ,ネイマール,キリアン・エムバペ,
paris-saint-germain,2020,マルキーニョス,アクラフ・ハキミ,ヴィティーニャ,ウスマン・デンベレ,フビチャ・クヴァラツヘリア,
monaco,1990,エマニュエル・プティ,ユーリ・ジョルカエフ,ファビアン・バルテズ,ティエリ・アンリ,ダヴィド・トレゼゲ,
monaco,2000,シャバニ・ノンダ,リュドヴィク・ジュリ,フェルナンド・モリエンテス,パトリス・エヴラ,,
monaco,2010,ラダメル・ファルカオ,ジョアン・モウティーニョ,ベルナルド・シウバ,ファビーニョ,キリアン・エムバペ,
monaco,2020,ウィサム・ベン・イェデル,アレクサンドル・ゴロヴィン,南野拓実,,,
marseille,1990,ジャン＝ピエール・パパン,クリス・ワドル,アベディ・ペレ,バジール・ボリ,ファビアン・バルテズ,
marseille,2000,ディディエ・ドログバ,フランク・リベリー,サミル・ナスリ,ママドゥ・ニアン,,
marseille,2010,スティーヴ・マンダンダ,マテュー・ヴァルブエナ,アンドレ＝ピエール・ジニャック,酒井宏樹,ディミトリ・パイェ,
marseille,2020,ピエール＝エメリク・オーバメヤン,レオナルド・バレルディ,メイソン・グリーンウッド,,,
celtic,1990,,,,,,
celtic,2000,ヘンリク・ラーション,クリス・サットン,スティリアン・ペトロフ,中村俊輔,,
celtic,2010,スコット・ブラウン,ジェームズ・フォレスト,ムサ・デンベレ,キーラン・ティアニー,,
celtic,2020,カラム・マグレガー,古橋亨梧,前田大然,旗手怜央,,
porto,1990,ヴィトール・バイーア,ジョルジュ・コスタ,マリオ・ジャルデウ,,,
porto,2000,デコ,リカルド・カルヴァーリョ,マニシェ,リサンドロ・ロペス,,
porto,2010,フッキ,ラダメル・ファルカオ,ジョアン・モウティーニョ,ジャクソン・マルティネス,,
porto,2020,ペペ,オタヴィオ,メフディ・タレミ,ディオゴ・コスタ,,
benfica,1990,ルイ・コスタ,ジョアン・ピント,モゼール,,,
benfica,2000,シモン・サブローザ,ヌーノ・ゴメス,ルイゾン,,,
benfica,2010,オスカル・カルドソ,ニコラス・ガイタン,ジョナス,,,
benfica,2020,ラファ・シウバ,アレハンドロ・グリマルド,ニコラス・オタメンディ,,,
sporting,1990,ルイス・フィーゴ,クラシミール・バラコフ,ペドロ・バルボーザ,,,
sporting,2000,マリオ・ジャルデウ,リカルド・サ・ピント,リエジソン,ジョアン・モウティーニョ,,
sporting,2010,ルイ・パトリシオ,ウィリアム・カルヴァーリョ,ブルーノ・フェルナンデス,,,
sporting,2020,セバスティアン・コアテス,ペドロ・ゴンサウヴェス,守田英正,ヴィクトル・ギェケレシュ,,
bayern-munich,1990,ローター・マテウス,メーメット・ショル,ユルゲン・クリンスマン,ジョバネ・エウベル,,
bayern-munich,2000,オリバー・カーン,シュテファン・エッフェンベルク,ミヒャエル・バラック,フィリップ・ラーム,バスティアン・シュヴァインシュタイガー,
bayern-munich,2010,フランク・リベリー,アリエン・ロッベン,トーマス・ミュラー,マヌエル・ノイアー,ロベルト・レヴァンドフスキ,
bayern-munich,2020,ヨシュア・キミッヒ,ジャマル・ムシアラ,ハリー・ケイン,,,
borussia-dortmund,1990,ミヒャエル・ツォルク,マティアス・ザマー,アンドレアス・メラー,カール＝ハインツ・リードレ,,
borussia-dortmund,2000,ラース・リッケン,トマーシュ・ロシツキー,ヤン・コレル,セバスティアン・ケール,,
borussia-dortmund,2010,ロベルト・レヴァンドフスキ,香川真司,マッツ・フンメルス,マルコ・ロイス,ピエール＝エメリク・オーバメヤン,
