season,league_key,club_key,formation,image
2025-25,premier-league,arsenal,4-3-3,2025-26_premier-league_arsenal.png
2025-26,laliga,real-madrid,4-2-3-1,2025-26_laliga_real-madrid.png
2026-27,laliga,real-madrid,4-2-3-1,2026-27_laliga_real-madrid.png
2025-26,premier-league,brighton,4-2-3-1,2025-26_premier-league_brighton.png
2026-27,premier-league,brighton,4-2-3-1,2026-27_premier-league_brighton.png
2025-26,premier-league,tottenham-hotspur,4-2-3-1,2025-26_premier-league_tottenham-hotspur.png
2026-27,premier-league,tottenham-hotspur,4-2-3-1,2026-27_premier-league_tottenham-hotspur.png
2025-26,bundesliga,freiburg,4-2-3-1,2025-26_bundesliga_freiburg.png
2026-27,bundesliga,freiburg,4-2-3-1,2026-27_bundesliga_freiburg.png
2025-26,laliga,atletico-madrid,4-4-2,2025-26_laliga_atletico-madrid.png
2026-27,laliga,atletico-madrid,4-4-2,2026-27_laliga_atletico-madrid.png
2025-26,serie-a,inter,3-4-2-1,2025-26_serie-a_inter.png
2026-27,serie-a,inter,3-4-2-1,2026-27_serie-a_inter.png
