club_key,league_key,league_display,club_display_ja,club_display_en,sort_ja,aliases,status,notes,,
union-berlin,bundesliga,Bundesliga,1. FCウニオン・ベルリン,1. FC Union Berlin,ウニオン・ベルリン,,active,,,
koln,bundesliga,Bundesliga,1.FCケルン,1. FC Köln,ケルン,,active,,,
heidenheim,bundesliga,Bundesliga,1.FCハイデンハイム,1. FC Heidenheim 1846,ハイデンハイム,,active,,,
mainz,bundesliga,Bundesliga,1.FSVマインツ05,1.FSV Mainz 05,マインツ,,active,,,
augsburg,bundesliga,Bundesliga,FCアウクスブルク,FC Augsburg,アウクスブルク,アウクスブルク,active,,,
st-pauli,bundesliga,Bundesliga,FCザンクトパウリ,FC St. Pauli,ザンクトパウリ,,active,,,
freiburg,bundesliga,Bundesliga,SCフライブルク,SC Freiburg,フライブルク,SCフライブルク,active,,,
rb-leipzig,bundesliga,Bundesliga,RBライプツィヒ,RB Leipzig,ライプツィヒ,ライプツィヒ,active,,,
hoffenheim,bundesliga,Bundesliga,TSG1899ホッフェンハイム,TSG  1899 Hoffenheim,ホッフェンハイム,,active,,,
stuttgart,bundesliga,Bundesliga,VfBシュトゥットガルト,Vfb Stuttgart,シュトゥットガルト,,active,,,
wolfsburg,bundesliga,Bundesliga,VfLヴォルフスブルク,VfL Wolfsburg,ヴォルフスブルク,ヴォルフスブルク|VfL ヴォルフスブルク,active,,,
eintracht-frankfurt,bundesliga,Bundesliga,アイントラハト・フランクフルト,Eintracht Frankfurt,フランクフルト,,active,,,
hamburg,bundesliga,Bundesliga,ハンブルガーSV,Hamburger SV,ハンブルガーSV,,active,,,
bayern-munich,bundesliga,Bundesliga,バイエルン・ミュンヘン,Bayern München,バイエルン,,active,,,
bayer-leverkusen,bundesliga,Bundesliga,バイエル・レバークーゼン,Bayer 04 Leverkusen,レバークーゼン,,active,,,
borussia-dortmund,bundesliga,Bundesliga,ボルシア・ドルトムント,Borussia Dortmund,ドルトムント,,active,,,
borussia-monchengladbach,bundesliga,Bundesliga,ボルシア・メンヘングラードバッハ,Borussia Mönchengladbach,ボルシアMG,ボルシア・メンヒェングラートバッハ,active,,,
werder-bremen,bundesliga,Bundesliga,ヴェルダー・ブレーメン,Werder Bremen,ブレーメン,,active,,,
mallorca,laliga,LaLiga,RCDマジョルカ,RCD Mallorca,マジョルカ,,active,,,
athletic-bilbao,laliga,LaLiga,アスレティック・ビルバオ,Athletic Club de Bilbao,アスレティック・ビルバオ,,active,,,
atletico-madrid,laliga,LaLiga,アトレティコ・マドリード,Atlético de Madrid,アトレティコ・マドリード,アトレティコ・デ・マドリード,active,,,
espanyol,laliga,LaLiga,エスパニョール,RCD Espanyol ,エスパニョール,,active,,,
elche,laliga,LaLiga,エルチェCF,Elche CF,エルチェ,エルチェ CF,active,,,
osasuna,laliga,LaLiga,オサスナ,CA  Osasuna,オサスナ,CA オサスナ,active,,,
girona,laliga,LaLiga,ジローナ,Girona FC,ジローナ,ジローナFC,active,,,
sevilla,laliga,LaLiga,セビージャFC,Sevilla  FC,セビージャ,セビージャ FC,active,,,
