competition,edition,award_key,award_name,sort,player,team,note
WC,2026,,🥇ゴールデンボール,1,ロドリ,スペイン,
WC,2026,,🥈シルバーボール,2,リオネル・メッシ,アルゼンチン,
WC,2026,,🥉ブロンズボール,3,キリアン・エムバペ,フランス,
WC,2026,,👟ゴールデンブーツ,4,キリアン・エムバペ,フランス,
WC,2026,,🧤ゴールデングローブ,5,ウナイ・シモン,スペイン,
WC,2026,,✨最優秀若手選手賞,6,パウ・クバルシ,スペイン,
,,,,,,,
WC,2022,,🥇ゴールデンボール,1,リオネル・メッシ,アルゼンチン,
WC,2022,,🥈シルバーボール,2,キリアン・エムバペ,フランス,
WC,2022,,🥉ブロンズボール,3,ルカ・モドリッチ,クロアチア,
WC,2022,,👟ゴールデンブーツ,4,キリアン・エムバペ,フランス,
WC,2022,,🧤ゴールデングローブ,5,エミリアーノ・マルティネス,アルゼンチン,
WC,2022,,✨最優秀若手選手賞,6,エンソ・フェルナンデス,アルゼンチン,
,,,,,,,
WC,2018,,🥇ゴールデンボール,1,ルカ・モドリッチ,クロアチア,
WC,2018,,🥈シルバーボール,2,エデン・アザール,ベルギー,
WC,2018,,🥉ブロンズボール,3,アントワーヌ・グリーズマン,フランス,
WC,2018,,👟ゴールデンブーツ,4,ハリー・ケイン,イングランド,
WC,2018,,🧤ゴールデングローブ,5,ティボ・クルトゥワ,ベルギー,
WC,2018,,✨最優秀若手選手賞,6,キリアン・エムバペ,フランス,
,,,,,,,
WC,2014,,🥇ゴールデンボール,1,リオネル・メッシ,アルゼンチン,
WC,2014,,🥈シルバーボール,2,トーマス・ミュラー,ドイツ,
WC,2014,,🥉ブロンズボール,3,アリエン・ロッベン,オランダ,
WC,2014,,👟ゴールデンブーツ,4,ハメス・ロドリゲス,コロンビア,
WC,2014,,🧤ゴールデングローブ,5,マヌエル・ノイアー,ドイツ,
WC,2014,,✨最優秀若手選手賞,6,ポール・ポグバ,フランス,
,,,,,,,
WC,2010,,🥇ゴールデンボール,1,ディエゴ・フォルラン,ウルグアイ,
WC,2010,,🥈シルバーボール,2,ヴェスレイ・スナイデル,オランダ,
WC,2010,,🥉ブロンズボール,3,ダビド・ビジャ,スペイン,
WC,2010,,👟ゴールデンブーツ,4,トーマス・ミュラー,ドイツ,
WC,2010,,🧤ゴールデングローブ,5,イケル・カシージャス,スペイン,
WC,2010,,✨最優秀若手選手賞,6,トーマス・ミュラー,ドイツ,
,,,,,,,
WC,2006,,🥇ゴールデンボール,1,ジネディーヌ・ジダン,フランス,
WC,2006,,🥈シルバーボール,2,ファビオ・カンナヴァーロ,イタリア,
WC,2006,,🥉ブロンズボール,3,アンドレア・ピルロ,イタリア,
WC,2006,,👟ゴールデンブーツ,4,ミロスラフ・クローゼ,ドイツ,
WC,2006,,🧤ゴールデングローブ,5,ジャンルイジ・ブッフォン,イタリア,
WC,2006,,✨最優秀若手選手賞,6,ルーカス・ポドルスキ,ドイツ,
,,,,,,,
WC,2002,,🥇ゴールデンボール,1,オリヴァー・カーン,ドイツ,
WC,2002,,🥈シルバーボール,2,ロナウド,ブラジル,
WC,2002,,🥉ブロンズボール,3,洪明甫,韓国,
WC,2002,,👟ゴールデンブーツ,4,ロナウド,ブラジル,
WC,2002,,🧤ゴールデングローブ,5,オリヴァー・カーン,ドイツ,
WC,2002,,✨最優秀若手選手賞,6,ランドン・ドノバン,アメリカ,
,,,,,,,
WC,1998,,🥇ゴールデンボール,1,ロナウド,ブラジル,
WC,1998,,🥈シルバーボール,2,ダヴォール・シューケル,クロアチア,
WC,1998,,🥉ブロンズボール,3,リリアン・テュラム,フランス,
WC,1998,,👟ゴールデンブーツ,4,ダヴォール・シューケル,クロアチア,
WC,1998,,🧤ゴールデングローブ,5,ファビアン・バルテズ,フランス,
,,,,,,,
