competition,edition,rank_type,rank,player_name,team_key,team_name_ja,goals,assists,note,updated_at
UCL,2025-26,goals,1,キリアン・エムバペ,real-madrid,レアル・マドリード,15,,得点王,2026-05-31
UCL,2025-26,goals,2,ハリー・ケイン,bayern-munich,バイエルン・ミュンヘン,14,,,2026-05-31
UCL,2025-26,goals,3,アントニー・ゴードン,newcastle-united,ニューカッスル・ユナイテッド,10,,,2026-05-31
UCL,2025-26,goals,3,フリアン・アルバレス,atletico-madrid,アトレティコ・マドリード,10,,,2026-05-31
UCL,2025-26,goals,3,フビチャ・クヴァラツヘリア,paris-saint-germain,パリSG,10,,,2026-05-31
UCL,2025-26,goals,6,アーリング・ハーランド,manchester-city,マンチェスター・シティ,8,,,2026-05-31
UCL,2025-26,goals,6,ウスマン・デンベレ,paris-saint-germain,パリSG,8,,,2026-05-31
UCL,2025-26,goals,8,ヴィクター・オシムヘン,galatasaray ,ガラタサライ,7,,,2026-05-31
UCL,2025-26,goals,8,ルイス・ディアス,bayern-munich,バイエルン・ミュンヘン,7,,,2026-05-31
UCL,2025-26,goals,10,アレクサンダー・セルロート,atletico-madrid,アトレティコ・マドリード,6,,,2026-05-31
UCL,2025-26,goals,10,ヴィティーニャ,paris-saint-germain,パリSG,6,,,2026-05-31
UCL,2025-26,goals,10,イェンス・ペッター・ハウゲ,bodø-glimt,FKボデ/グリムト,6,,,2026-05-31
UCL,2025-26,goals,10,ガブリエル・マルティネッリ,arsenal,アーセナル,6,,,2026-05-31
UCL,2025-26,goals,10,ハーヴィ・バーンズ,newcastle-united,ニューカッスル・ユナイテッド,6,,,2026-05-31
UCL,2025-26,goals,10,フェルミン・ロペス,barcelona,バルセロナ,6,,,2026-05-31
UCL,2025-26,goals,10,ラミン・ヤマル,barcelona,バルセロナ,6,,,2026-05-31
UCL,2025-26,assists,1,ヴィニシウス・ジュニオール,real-madrid,レアル・マドリード,,8,アシスト王,2026-05-31
UCL,2025-26,assists,2,アクラフ・ハキミ,paris-saint-germain,パリSG,,7,,2026-05-31
UCL,2025-26,assists,2,マイケル・オリーズ,bayern-munich,バイエルン・ミュンヘン,,7,,2026-05-31
UCL,2025-26,assists,2,フビチャ・クヴァラツヘリア,paris-saint-germain,パリSG,,7,,2026-05-31
UCL,2025-26,assists,5,レアンドロ・トロサール,arsenal,アーセナル,,5,,2026-05-31
UCL,2025-26,assists,6,コンラート・ライマー,bayern-munich,バイエルン・ミュンヘン,,4,,2026-05-31
