match-id,slug,competition,edition,md,stage,group,sec,datetime-local,home,home_key,away,away_key,stadium,home_score,away_score,home_score_pk,away_score_pk,mom,mom_team,note,updated_at
WC-2026-MD001,mexico-vs-south-africa,WC,2026,MD001,Group-Phase,A,第１節,6/12(金)04:00,メキシコ,mexico,南アフリカ共和国,south-africa,エスタディオ・アステカ・メキシコシティー,2,0,,,フリアン・キニョネス,メキシコ,,2026/6/12
WC-2026-MD002,south-korea-vs-czechia,WC,2026,MD002,Group-Phase,A,第１節,6/12(金)11:00,韓国,south-korea,チェコ,czechia,エスタディオ・グアダラハラ,2,1,,,黄仁範（ファン・インボム）,韓国,,2026/6/12
WC-2026-MD003,canada-vs-bosnia-and-herzegovina,WC,2026,MD003,Group-Phase,B,第１節,6/13(土)04:00,カナダ,canada,ボスニア・ヘルツェゴビナ,bosnia-and-herzegovina,トロントスタジアム,1,1,,,イスマエル・コネ,カナダ,,2026/6/13
WC-2026-MD004,usa-vs-paraguay,WC,2026,MD004,Group-Phase,D,第１節,6/13(土)10:00,アメリカ,usa,パラグアイ,paraguay,ロサンゼルススタジアム,4,1,,,フォラリン・バログン,アメリカ,,2026/6/13
WC-2026-MD005,qatar-vs-switzerland,WC,2026,MD005,Group-Phase,B,第１節,6/14(日)04:00,カタール,qatar,スイス,switzerland,サンフランシスコベイエリアスタジアム,1,1,,,マフムード・アブーナダ,カタール,,2026/6/14
WC-2026-MD006,brazil-vs-morocco,WC,2026,MD006,Group-Phase,C,第１節,6/14(日)07:00,ブラジル,brazil,モロッコ,morocco,ニューヨーク/ニュージャージースタジアム,1,1,,,ヴィニシウス・ジュニオール,ブラジル,,2026/6/14
WC-2026-MD007,haiti-vs-scotland,WC,2026,MD007,Group-Phase,C,第１節,6/14(日)10:00,ハイチ,haiti,スコットランド,scotland,ボストンスタジアム,0,1,,,ジョン・マッギン,スコットランド,,2026/6/14
WC-2026-MD008,australia-vs-turkey,WC,2026,MD008,Group-Phase,D,第１節,6/14(日)13:00,オーストラリア,australia,トルコ,turkey,BCプレイスバンクーバー,2,0,,,ネストリ・イランクンダ,オーストラリア,,2026/6/14
WC-2026-MD009,germany-vs-curacao,WC,2026,MD009,Group-Phase,E,第１節,6/15(月)02:00,ドイツ,germany,キュラソー,curacao,ヒューストンスタジアム,7,1,,,カイ・ハフェルツ,ドイツ,,2026/6/15
WC-2026-MD010,netherlands-vs-japan,WC,2026,MD010,Group-Phase,F,第１節,6/15(月)05:00,オランダ,netherlands,日本,japan,ダラススタジアム,2,2,,,フィルジル・ファン・ダイク,オランダ,,2026/6/15
WC-2026-MD011,cote-divoire-vs-ecuador,WC,2026,MD011,Group-Phase,E,第１節,6/15(月)08:00,コートジボワール,cote-divoire,エクアドル,ecuador,フィラデルフィアスタジアム,1,0,,,ヤン・ディオマンデ,コートジボワール,,2026/6/15
WC-2026-MD012,sweden-vs-tunisia,WC,2026,MD012,Group-Phase,F,第１節,6/15(月)11:00,スウェーデン,sweden,チュニジア,tunisia,エスタディオ・モンテレイ,5,1,,,アレクサンデル・イサク,スウェーデン,,2026/6/15
WC-2026-MD013,spain-vs-cape-verde,WC,2026,MD013,Group-Phase,H,第１節,6/16(火)01:00,スペイン,spain,カーボベルデ,cape-verde,アトランタスタジアム,0,0,,,ジョジマール・ディアス,カーボベルデ,,2026/6/16
WC-2026-MD014,belgium-vs-egypt,WC,2026,MD014,Group-Phase,G,第１節,6/16(火)04:00,ベルギー,belgium,エジプト,egypt,シアトルスタジアム,1,1,,,エマム・アシュール,エジプト,,2026/6/16
WC-2026-MD015,saudi-arabia-vs-uruguay,WC,2026,MD015,Group-Phase,H,第１節,6/16(火)07:00,サウジアラビア,saudi-arabia,ウルグアイ,uruguay,マイアミスタジアム,1,1,,,フェデリコ・バルベルデ,ウルグアイ,,2026/6/16
WC-2026-MD016,iran-vs-new-zealand,WC,2026,MD016,Group-Phase,G,第１節,6/16(火)10:00,イラン,iran,ニュージーランド,new-zealand,ロサンゼルススタジアム,2,2,,,ラーミーン・レザーイヤーン,イラン,,2026/6/16
WC-2026-MD017,france-vs-senegal,WC,2026,MD017,Group-Phase,I,第１節,6/17(水)04:00,フランス,france,セネガル,senegal,ニューヨーク/ニュージャージースタジアム,3,1,,,ミカエル・オリーズ,フランス,,2026/6/17
WC-2026-MD018,iraq-vs-norway,WC,2026,MD018,Group-Phase,I,第１節,6/17(水)07:00,イラク,iraq,ノルウェー,norway,ボストンスタジアム,1,4,,,エルリング・ブラウト・ホランド,ノルウェー,,2026/6/17
WC-2026-MD019,argentina-vs-algeria,WC,2026,MD019,Group-Phase,J,第１節,6/17(水)10:00,アルゼンチン,argentina,アルジェリア,algeria,カンザスシティースタジアム,3,0,,,リオネル・メッシ,アルゼンチン,,2026/6/17
WC-2026-MD020,austria-vs-jordan,WC,2026,MD020,Group-Phase,J,第１節,6/17(水)13:00,オーストリア,austria,ヨルダン,jordan,サンフランシスコベイエリアスタジアム,3,1,,,アリ・オルワン,ヨルダン,,2026/6/17
WC-2026-MD021,portugal-vs-dr-congo,WC,2026,MD021,Group-Phase,K,第１節,6/18(木)02:00,ポルトガル,portugal,コンゴ民主共和国,dr-congo,ヒューストンスタジアム,1,1,,,ジョアン・ネヴィス,ポルトガル,,2026/6/18
WC-2026-MD022,england-vs-croatia,WC,2026,MD022,Group-Phase,L,第１節,6/18(木)05:00,イングランド,england,クロアチア,croatia,ダラススタジアム,4,2,,,ハリー・ケイン,イングランド,,2026/6/18
WC-2026-MD023,ghana-vs-panama,WC,2026,MD023,Group-Phase,L,第１節,6/18(木)08:00,ガーナ,ghana,パナマ,panama,トロントスタジアム,1,0,,,アントワーヌ・セメニョ,ガーナ,,2026/6/18
