league,league_key,league_display_ja,sort_rank,league_display_en,is_public,notes
Bundesliga,bundesliga,ブンデスリーガ,30,Bundesliga,TRUE,
Eredivisie,eredivisie,エールディヴィジ,60,Eredivisie,TRUE,
LaLiga,laliga,ラ・リーガ,20,LaLiga,TRUE,
Ligue1,ligue-1,リーグ・アン,50,Ligue1,TRUE,
Premier League,premier-league,プレミアリーグ,10,Premier League,TRUE,
Primeira Liga,primeira-liga,プリメイラ・リーガ,70,Primeira Liga,TRUE,
SerieA,serie-a,セリエA,40,SerieA,TRUE,
Scottish Premiership,scottish-premiership,スコティッシュ・プレミアシップ,80,Scottish Premiership,TRUE,
Jupiler Pro,jupiler-pro,ジュピラー・プロ,81,Jupiler Pro,FALSE,
Super league Greece,super-league-greece,ギリシャ・スーパーリーグ,91,Super league Greece,FALSE,
Kazakhstan Professional,kazakhstan-professional,カザフスタン・プレミアリーグ,98,Kazakhstan Professional,FALSE,
Cypriot First Division,cypriot-first-division,キプロス・ファーストディビジョン,96,Cypriot First Division,FALSE,
Süper Lig,süper-lig,スュペル・リグ,82,Süper Lig,FALSE,
Chance liga,chance-liga,チャンス・リガ,94,Chance liga,FALSE,
Azerbaijan Premier,azerbaijan-premier,アゼルバイジャン・プレミアリーグ,98,Azerbaijan Premier,FALSE,
Danish Superliga,danish-superliga,デンマーク・スーペルリーガ,95,Danish Superliga,FALSE,
Eiteserien,eiteserien,エリテセリエン,97,Eiteserien,FALSE,
Ukrainian Premier,ukrainian-premier,ウクライナ・プレミアリーグ,99,Ukrainian Premier,FALSE,
Hrvatska nogometna liga,hrvatska-nogometna-liga,フルヴァツカ・ノゴメトナ・リーガ,90,Hrvatska nogometna liga,FALSE,
Superliga Srbije,superliga-srbije,セルビア・スーペルリーガ,85,Superliga Srbije,FALSE,
Austrian Bundesliga,austrian-bundesliga,オーストリア・ブンデスリーガ,83,Austrian Bundesliga,FALSE,
Nike liga,nike-liga,ニケ・リーガ,92,Nike liga,FALSE,
Swiss Super League,swiss-super-league,スイス・スーパーリーグ,93,Swiss Super League,FALSE,
Azerbaijan Premier ,azerbaijan premier ,アゼルバイジャン・プレミアリーグ,96,Azerbaijan Premier ,FALSE,
