competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,1998,WC-1998-Japan-Jamaica,1,GOAL,日本,中山雅史,,59,2H,GL3,ジャマイカ,
WC,2002,WC-2002-Japan-Belgium,1,GOAL,日本,鈴木隆行,,59,2H,GL1,ベルギー,
WC,2002,WC-2002-Japan-Belgium,2,GOAL,日本,稲本潤一,,67,2H,GL1,ベルギー,
WC,2002,WC-2002-Japan-Russia,1,GOAL,日本,稲本潤一,,51,2H,GL2,ロシア,
WC,2002,WC-2002-Japan-Tunisia,1,GOAL,日本,森島寛晃,,48,2H,GL3,チュニジア,
WC,2002,WC-2002-Japan-Tunisia,2,GOAL,日本,中田英寿,,75,2H,GL3,チュニジア,
WC,2006,WC-2006-Japan-Australia,1,GOAL,日本,中村俊輔,,26,1H,GL1,オーストラリア,
WC,2006,WC-2006-Japan-Brazil,1,GOAL,日本,玉田圭司,,34,2H,GL3,ブラジル,
,,,,,,,,,,,,
WC,2022,WC-2022-MD001,1,GOAL,エクアドル,Enner Valencia,,16,1H,GL1,カタール,PK
WC,2022,WC-2022-MD001,2,GOAL,エクアドル,Enner Valencia,,31,1H,GL1,カタール,
WC,2022,WC-2022-MD007,1,GOAL,イングランド,Jude Bellingham,,35,1H,GL1,イラン,
WC,2022,WC-2022-MD007,2,GOAL,イングランド,Bukayo Saka,,43,1H,GL1,イラン,
WC,2022,WC-2022-MD007,3,GOAL,イングランド,Raheem Sterling,,45+1,1H,GL1,イラン,
WC,2022,WC-2022-MD007,4,GOAL,イングランド,Bukayo Saka,,62,2H,GL1,イラン,
WC,2022,WC-2022-MD007,5,GOAL,イラン,Mehdi Taremi,,65,2H,GL1,イングランド,
WC,2022,WC-2022-MD007,6,GOAL,イングランド,Marcus Rashford,,71,2H,GL1,イラン,
WC,2022,WC-2022-MD007,7,GOAL,イングランド,Jack Grealish,,90,2H,GL1,イラン,
WC,2022,WC-2022-MD007,8,GOAL,イラン,Mehdi Taremi,,90+13,2H,GL1,イングランド,PK
WC,2022,WC-2022-MD002,1,GOAL,オランダ,Cody Gakpo,,84,2H,GL1,セネガル,
WC,2022,WC-2022-MD002,2,GOAL,オランダ,Davy Klaassen,,90+9,2H,GL1,セネガル,
WC,2022,WC-2022-MD008,1,GOAL,アメリカ,Timothy Weah,,36,1H,GL1,ウェールズ,
WC,2022,WC-2022-MD008,2,GOAL,ウェールズ,Gareth Bale,,82,2H,GL1,アメリカ,PK
WC,2022,WC-2022-MD013,1,GOAL,アルゼンチン,Lionel Messi,,10,1H,GL1,サウジアラビア,PK
WC,2022,WC-2022-MD013,2,GOAL,サウジアラビア,Saleh Al-Shehri,,48,2H,GL1,アルゼンチン,
