country,decade,player1,player2,player3,player4,player5,player6,player7,
japan,1990,ラモス瑠偉,三浦知良,井原正巳,中山雅史,名波浩,中田英寿,,
japan,2000,川口能活,中澤佑二,中村俊輔,小野伸二,稲本潤一,高原直泰,遠藤保仁,
japan,2010,長谷部誠,内田篤人,本田圭佑,長友佑都,岡崎慎司,香川真司,吉田麻也,
japan,2020,遠藤航,伊東純也,南野拓実,冨安健洋,鎌田大地,三笘薫,久保建英,
brazil,1990,クラウディオ・タファレル,ロマーリオ,ベベット,ドゥンガ,カフー,ロベルト・カルロス,ロナウド,
brazil,2000,リバウド,ルシオ,ジウベルト・シウバ,ロナウジーニョ,アドリアーノ,カカ,ジュリオ・セザール,
brazil,2010,チアゴ・シウバ,ダニエウ・アウヴェス,マルセロ,ダヴィド・ルイス,ネイマール,カゼミーロ,フィリペ・コウチーニョ,
brazil,2020,アリソン,マルキーニョス,ブルーノ・ギマランイス,ヴィニシウス・ジュニオール,ハフィーニャ,,,
argentina,1990,ディエゴ・マラドーナ,クラウディオ・カニーヒア,セルヒオ・ゴイコチェア,ガブリエル・バティストゥータ,ディエゴ・シメオネ,アリエル・オルテガ,ハビエル・サネッティ,
argentina,2000,ロベルト・アジャラ,エルナン・クレスポ,フアン・セバスティアン・ベロン,パブロ・アイマール,フアン・ロマン・リケルメ,,,
argentina,2010,リオネル・メッシ,ハビエル・マスチェラーノ,アンヘル・ディ・マリア,ゴンサロ・イグアイン,セルヒオ・アグエロ,セルヒオ・ロメロ,,
argentina,2020,ニコラス・オタメンディ,エミリアーノ・マルティネス,クリスティアン・ロメロ,ロドリゴ・デ・パウル,ラウタロ・マルティネス,フリアン・アルバレス,アレクシス・マック・アリスター,
uruguay,1990,エンツォ・フランチェスコリ,ルベン・ソサ,グスタボ・ポジェ,,,,,
uruguay,2000,アルバロ・レコバ,パオロ・モンテーロ,,,,,,
uruguay,2010,ディエゴ・フォルラン,ディエゴ・ルガーノ,フェルナンド・ムスレラ,マキシ・ペレイラ,ディエゴ・ゴディン,エディンソン・カバーニ,ルイス・スアレス,
uruguay,2020,ホセ・マリア・ヒメネス,フェデリコ・バルベルデ,ロドリゴ・ベンタンクール,ロナルド・アラウホ,,,,
colombia,1990,カルロス・バルデラマ,レネ・イギータ,レオネル・アルバレス,フレディ・リンコン,ファウスティーノ・アスプリージャ,,,
colombia,2000,オスカル・コルドバ,イバン・コルドバ,マリオ・ジェペス,,,,,
colombia,2010,ダビド・オスピナ,ファン・クアドラード,ハメス・ロドリゲス,ラダメル・ファルカオ,カルロス・バッカ,,,
colombia,2020,ダビンソン・サンチェス,ジェフェルソン・レルマ,ルイス・ディアス,,,,,
chile,1990,イバン・サモラーノ,マルセロ・サラス,ファビアン・エスタイ,ホセ・ルイス・シエラ,,,,
chile,2000,ダビド・ピサーロ,ウンベルト・スアソ,マティアス・フェルナンデス,,,,,
chile,2010,クラウディオ・ブラーボ,ガリー・メデル,マウリシオ・イスラ,アルトゥーロ・ビダル,アレクシス・サンチェス,エドゥアルド・バルガス,,
chile,2020,,,,,,,,
paraguay,1990,ホセ・ルイス・チラベルト,カルロス・ガマーラ,フランシスコ・アルセ,ホセ・サトゥルニーノ・カルドソ,,,,
paraguay,2000,ロケ・サンタ・クルス,フスト・ビジャール,パウロ・ダ・シルバ,ネルソン・バルデス,,,,
paraguay,2010,グスタボ・ゴメス,,,,,,,
paraguay,2020,フリオ・セサル・エンシソ,ディエゴ・ゴメス,,,,,,
