edition,team_slug,announcement_date,coach_ja,date,opponent_key,venue_type,score,note
202511,japan,,森保一,2025-11-14,ghana,H,2-0,
202511,japan,,森保一,2025-11-18,bolivia,H,3-0,
202603,japan,,森保一,2026-03-29,england,A,1-0,
202603,japan,,森保一,2026-04-01,scotland,A,1-0,
202606,venezuela,,オスワルド・ビスカロンド,,,,,
202609,uruguay,2026-09-04,ディエゴ・フォルラン,2026-09-24,japan,A,,
202609,uruguay,2026-09-04,ディエゴ・フォルラン,2026-09-28,south-korea,A,,
202609,uruguay,2026-09-04,ディエゴ・フォルラン,2026-10-06,india,A,,
202609,croatia,2026-09-07,スラベン・ビリッチ,2026-09-26,czechia,A,,
202609,croatia,2026-09-07,スラベン・ビリッチ,2026-09-29,spain,A,,
202609,croatia,2026-09-07,スラベン・ビリッチ,2026-10-03,england,H,,
202609,croatia,2026-09-07,スラベン・ビリッチ,2026-10-06,spain,H,,
202609,cameroon,2026-09-07,ダヴィド・パグー,2026-09-25,comoros,H,,
202609,cameroon,2026-09-07,ダヴィド・パグー,2026-09-30,congo,A,,
202609,india,2026-08-31,カリド・ジャミル,2026-09-25,panama,H,,
202609,india,2026-08-31,カリド・ジャミル,2026-10-03,brazil,H,,
202609,india,2026-08-31,カリド・ジャミル,2026-10-06,uruguay,H,,
202609,south-africa,2026-09-04,ピッツォ・モシマネ,2026-09-26,guinea,H,,
202609,south-africa,2026-09-04,ピッツォ・モシマネ,2026-09-30,eritrea,A,,
202609,south-africa,2026-09-04,ピッツォ・モシマネ,2026-10-04,egypt,A,,
202609,brazil,2026-09-09,カルロ・アンチェロッティ,2026-09-25,australia,A,,
202609,brazil,2026-09-09,カルロ・アンチェロッティ,2026-09-29,australia,A,,
202609,brazil,2026-09-09,カルロ・アンチェロッティ,2026-10-03,india,A,,
202609,dr-congo,2026-09-11,セバスティアン・ドゥザブル,2026-09-24,equatorial-guinea,H,,
202609,dr-congo,2026-09-11,セバスティアン・ドゥザブル,2026-09-28,zimbabwe,A,,
202609,dr-congo,2026-09-11,セバスティアン・ドゥザブル,2026-10-02,uganda,N,,
202609,dr-congo,2026-09-11,セバスティアン・ドゥザブル,2026-10-05,uganda,N,,
202609,mali,2026-09-10,アントニー・ダ・シルバ,2026-09-25,cape-verde,H,,
202609,mali,2026-09-10,アントニー・ダ・シルバ,2026-09-29,liberia,A,,
202609,mali,2026-09-10,アントニー・ダ・シルバ,2026-10-03,tunisia,A,,
202609,thailand,2026-09-14,アンソニー・ハドソン,2026-09-26,pakistan,A,,
202609,thailand,2026-09-14,アンソニー・ハドソン,2026-09-29,vietnam,H,,
202609,thailand,2026-09-14,アンソニー・ハドソン,2026-10-02,philippines,H,,
202609,gambia,2026-09-07,ジョナサン・マッキンストリー,2026-09-25,somalia,H,,
202609,gambia,2026-09-07,ジョナサン・マッキンストリー,2026-09-29,ghana,A,,
202609,scotland,2026-09-15,セバスティアン・ポコニョーリ,2026-09-26,slovenia,A,,
202609,scotland,2026-09-15,セバスティアン・ポコニョーリ,2026-09-29,switzerland,H,,
202609,scotland,2026-09-15,セバスティアン・ポコニョーリ,2026-10-03,north-macedonia,A,,
202609,scotland,2026-09-15,セバスティアン・ポコニョーリ,2026-10-06,slovenia,H,,
202609,wales,2026-09-15,クレイグ・ベラミー,2026-09-24,portugal,A,,
202609,wales,2026-09-15,クレイグ・ベラミー,2026-09-27,denmark,A,,
202609,wales,2026-09-15,クレイグ・ベラミー,2026-10-01,norway,H,,
202609,wales,2026-09-15,クレイグ・ベラミー,2026-10-04,denmark,H,,
202609,hungary,2026-09-15,マルコ・ロッシ,2026-09-25,ukraine,H,,
202609,hungary,2026-09-15,マルコ・ロッシ,2026-09-28,northern-ireland,A,,
202609,hungary,2026-09-15,マルコ・ロッシ,2026-10-02,georgia,H,,
202609,hungary,2026-09-15,マルコ・ロッシ,2026-10-05,ukraine,A,,
202609,northern-ireland,2026-09-15,マイケル・オニール,2026-09-25,georgia,A,,
202609,northern-ireland,2026-09-15,マイケル・オニール,2026-09-28,hungary,H,,
202609,northern-ireland,2026-09-15,マイケル・オニール,2026-10-02,ukraine,A,,
202609,northern-ireland,2026-09-15,マイケル・オニール,2026-10-05,georgia,H,,
202609,new-zealand,2026-09-15,ダレン・ベイズリー,2026-09-24,palestine,N,,
202609,new-zealand,2026-09-15,ダレン・ベイズリー,2026-09-27,china,N,,
202609,new-zealand,2026-09-15,ダレン・ベイズリー,2026-10-01,panama,N,,
202609,norway,2026-09-15,ストーレ・ソルバッケン,2026-09-24,denmark,H,,
202609,norway,2026-09-15,ストーレ・ソルバッケン,2026-09-27,portugal,H,,
202609,norway,2026-09-15,ストーレ・ソルバッケン,2026-10-01,wales,A,,
202609,norway,2026-09-15,ストーレ・ソルバッケン,2026-10-04,portugal,A,,
202609,denmark,2026-09-15,ブライアン・リーマー,2026-09-24,norway,A,,
202609,denmark,2026-09-15,ブライアン・リーマー,2026-09-27,wales,H,,
202609,denmark,2026-09-15,ブライアン・リーマー,2026-10-01,portugal,H,,
202609,denmark,2026-09-15,ブライアン・リーマー,2026-10-04,wales,A,,
202609,austria,2026-09-14,ラルフ・ラングニック,2026-09-24,israel,H,,
202609,austria,2026-09-14,ラルフ・ラングニック,2026-09-27,kosovo,H,,
202609,austria,2026-09-14,ラルフ・ラングニック,2026-10-01,ireland,A,,
202609,austria,2026-09-14,ラルフ・ラングニック,2026-10-04,kosovo,A,,
