team_slug,country_name_ja,country_name_en,confederation,display_tier,wc_titles_all_time,notes
brazil,ブラジル,Brazil,CONMEBOL,1,5,かつてのサッカー王国
germany,ドイツ,Germany,UEFA,1,4,不屈のゲルマン魂
argentina,アルゼンチン,Argentina,CONMEBOL,1,3,マラドーナからメッシへ
france,フランス,France,UEFA,1,2,シャンパンから移民系へ
spain,スペイン,Spain,UEFA,1,1,無敵艦隊ティキ・タカ
england,イングランド,England,UEFA,1,1,フットボールの母国
italy,イタリア,Italy,UEFA,1,4,守備の国カテナチオ
netherlands,オランダ,Netherlands,UEFA,1,0,トータルフットボール
portugal,ポルトガル,Portugal,UEFA,1,0,稀代のスター「CR7」の時代
belgium,ベルギー,Belgium,UEFA,2,0,黄金世代が切り拓いた強豪への道
uruguay,ウルグアイ,Uruguay,CONMEBOL,2,2,完全復活を期す南米の古豪
croatia,クロアチア,Croatia,UEFA,2,0,世界を揺るがし続ける小国
columbia,コロンビア,Columbia,CONMEBOL,2,0,2014年大会の主役
morocco,モロッコ,Morocco,UEFA,2,0,急成長を遂げたダークホース
japan,日本,Japan,AFC,2,0,歴代最強メンバー、強豪国入りへの挑戦
sweden,スウェーデン,Sweden,UEFA,0,0,
mexico,メキシコ,Mexico,CONCACAF,0,0,
south-africa,南アフリカ共和国,South Africa,CAF,0,0,
south-korea,韓国,South Korea,AFC,0,0,
czechia,チェコ,Czechia,UEFA,0,0,
canada,カナダ,Canada,CONCACAF,0,0,
bosnia-and-herzegovina,ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina,UEFA,0,0,
qatar,カタール,Qatar,AFC,0,0,
switzerland,スイス,Switzerland,UEFA,0,0,
haiti,ハイチ,Haiti,CONCACAF,0,0,
scotland,スコットランド,Scotland,UEFA,0,0,
usa,アメリカ,United States,CONCACAF,0,0,
paraguay,パラグアイ,Paraguay,CONMEBOL,0,0,
australia,オーストラリア,Australia,AFC,0,0,
turkey,トルコ,Turkey,UEFA,0,0,
curacao,キュラソー,Curacao,CONCACAF,0,0,
cote-divoire,コートジボワール,Cote d'Ivoire,CAF,0,0,
ecuador,エクアドル,Ecuador,CONMEBOL,0,0,
tunisia,チュニジア,Tunisia,CAF,0,0,
egypt,エジプト,Egypt,CAF,0,0,
iran,イラン,"Iran, Islamic Republic of",AFC,0,0,
new-zealand,ニュージーランド,New Zealand,OFC,0,0,
cape-verde,カーボベルデ,Cape Verde,CAF,0,0,
saudi-arabia,サウジアラビア,Saudi Arabia,AFC,0,0,
senegal,セネガル,Senegal,CAF,0,0,
iraq,イラク,Iraq,AFC,0,0,
norway,ノルウェー,Norway,UEFA,0,0,
algeria,アルジェリア,Algeria,CAF,0,0,
austria,オーストリア,Austria,UEFA,0,0,
jordan,ヨルダン,Jordan,AFC,0,0,
dr-congo,コンゴ民主共和国,DR Congo,CAF,0,0,
uzbekistan,ウズベキスタン,Uzbekistan,AFC,0,0,
ghana,ガーナ,Ghana,CAF,0,0,
panama,パナマ,Panama,CONCACAF,0,0,
