season,club_key,rank,played,won,draw,lost,gf,ga,gd,pts,qualified,updated_at,club_name_raw,pot,league_name_override,league_rank_override
2024-25,liverpool,1,8,7,0,1,17,5,12,21,KP,2025/5/31,リヴァプール,1,,
2024-25,barcelona,2,8,6,1,1,28,13,15,19,KP,2025/5/31,バルセロナ,1,,
2024-25,arsenal,3,8,6,1,1,16,3,13,19,KP,2025/5/31,アーセナル,2,,
2024-25,inter,4,8,6,1,1,11,1,10,19,KP,2025/5/31,インテル,1,,
2024-25,atletico-madrid,5,8,6,0,2,20,12,8,18,KP,2025/5/31,アトレティコ・マドリード,2,,
2024-25,bayer-leverkusen,6,8,5,1,2,15,7,8,16,KP,2025/5/31,バイエル・レバークーゼン,2,,
2024-25,lille,7,8,5,1,2,17,10,7,16,KP,2025/5/31,リール,3,,
2024-25,aston-villa,8,8,5,1,2,13,6,7,16,KP,2025/5/31,アストン・ヴィラ,4,,
2024-25,atalanta,9,8,4,3,1,20,6,14,15,PO,2025/5/31,アタランタ,2,,
2024-25,borussia-dortmund,10,8,5,0,3,22,12,10,15,KP,2025/5/31,ボルシア・ドルトムント,1,,
2024-25,real-madrid,11,8,5,0,3,20,12,8,15,KP,2025/5/31,レアル・マドリード,1,,
2024-25,bayern-munich,12,8,5,0,3,20,12,8,15,KP,2025/5/31,バイエルン・ミュンヘン,1,,
2024-25,milan,13,8,5,0,3,14,11,3,15,PO,2025/5/31,ミラン,2,,
2024-25,psv,14,8,4,2,2,16,12,4,14,KP,2025/5/31,PSV,3,,
2024-25,paris-saint-germain,15,8,4,1,3,14,9,5,13,KP,2025/5/31,パリ・サンジェルマン,1,,
2024-25,benfica,16,8,4,1,3,16,12,4,13,PO,2025/5/31,ベンフィカ,2,,
2024-25,monaco,17,8,4,1,3,13,13,0,13,PO,2025/5/31,モナコ,4,,
2024-25,brest,18,8,4,1,3,10,11,−1,13,PO,2025/5/31,ブレスト,4,,
2024-25,feyenoord,19,8,4,1,3,18,21,−3,13,KP,2025/5/31,フェイエノールト,3,,
2024-25,juventus,20,8,3,3,2,9,7,2,12,PO,2025/5/31,ユヴェントス,2,,
2024-25,celtic,21,8,3,3,2,13,14,−1,12,PO,2025/5/31,セルティック,3,,
2024-25,manchester-city,22,8,3,2,3,18,14,4,11,PO,2025/5/31,マンチェスター・シティ,1,,
2024-25,sporting,23,8,3,2,3,13,12,1,11,PO,2025/5/31,スポルティングCP,3,,
2024-25,club-brugge,24,8,3,2,3,7,11,−4,11,KP,2025/5/31,クラブ・ブルッヘ,2,,
2024-25,dinamo-zagreb,25,8,3,2,3,12,19,−7,11,敗退,2025/5/31,ディナモ・ザグレブ,3,,
2024-25,stuttgart,26,8,3,1,4,13,17,−4,10,敗退,2025/5/31,シュトゥットガルト,4,,
2024-25,shakhtar-donetsk,27,8,2,1,5,8,16,−8,7,敗退,2025/5/31,シャフタール・ドネツク,2,,
2024-25,bologna,28,8,1,3,4,4,9,−5,6,敗退,2025/5/31,ボローニャ,4,,
2024-25,crvena-zvezda,29,8,2,0,6,13,22,−9,6,敗退,2025/5/31,ツルヴェナ・ズヴェズダ,3,,
2024-25,sturm-graz,30,8,2,0,6,5,14,−9,6,敗退,2025/5/31,シュトゥルム・グラーツ,4,,
2024-25,sparta-praha,31,8,1,1,6,7,21,−14,4,敗退,2025/5/31,スパルタ・プラハ,4,,
2024-25,rb-leipzig,32,8,1,0,7,8,15,−7,3,敗退,2025/5/31,RBライプツィヒ,1,,
2024-25,girona,33,8,1,0,7,5,13,−8,3,敗退,2025/5/31,ジローナ,4,,
2024-25,salzburg,34,8,1,0,7,5,27,−22,3,敗退,2025/5/31,ザルツブルク,3,,
2024-25,slovan-bratislava,35,8,0,0,8,7,27,−20,0,敗退,2025/5/31,スロヴァン・ブラチスラヴァ,4,,
2024-25,young-boys,36,8,0,0,8,3,24,−21,0,敗退,2025/5/31,ヤングボーイズ,3,,
2025-26,arsenal,1,8,8,0,0,23,4,19,24,KP,2026/1/30,アーセナル,2,,
2025-26,bayern-munich,2,8,7,0,1,22,8,14,21,KP,2026/1/30,バイエルン・ミュンヘン,1,,
2025-26,liverpool,3,8,6,0,2,20,8,12,18,KP,2026/1/30,リヴァプール,1,,
2025-26,tottenham-hotspur,4,8,5,2,1,17,7,10,17,KP,2026/1/30,トッテナム・ホットスパー,3,,
2025-26,barcelona,5,8,5,1,2,22,14,8,16,KP,2026/1/30,バルセロナ,1,,
2025-26,chelsea,6,8,5,1,2,17,10,7,16,KP,2026/1/30,チェルシー,1,,
2025-26,sporting,7,8,5,1,2,17,11,6,16,KP,2026/1/30,スポルティングCP,3,,
2025-26,manchester-city,8,8,5,1,2,15,9,6,16,KP,2026/1/30,マンチェスター・シティ,1,,
2025-26,real-madrid,9,8,5,0,3,21,12,9,15,KP,2026/1/30,レアル・マドリード,1,,
2025-26,inter,10,8,5,0,3,15,7,8,15,PO,2026/1/30,インテル・ミラノ,1,,
2025-26,paris-saint-germain,11,8,4,2,2,21,11,10,14,KP,2026/1/30,PSG,1,,
2025-26,newcastle-united,12,8,4,2,2,17,7,10,14,KP,2026/1/30,ニューカッスル・ユナイテッド,4,,
2025-26,juventus,13,8,3,4,1,14,10,4,13,PO,2026/1/30,ユヴェントス,2,,
2025-26,atletico-madrid,14,8,4,1,3,17,15,2,13,KP,2026/1/30,アトレティコ・マドリード,2,,
2025-26,atalanta,15,8,4,1,3,10,10,0,13,KP,2026/1/30,アタランタ,2,,
2025-26,bayer-leverkusen,16,8,3,3,2,13,14,-1,12,KP,2026/1/30,バイエル・レバークーゼン,2,,
2025-26,borussia-dortmund,17,8,3,2,3,19,17,2,11,PO,2026/1/30,ボルシア・ドルトムント,1,,
2025-26,olympiacos,18,8,3,2,3,10,14,-4,11,PO,2026/1/30,オリンピアコス,3,,
2025-26,club-brugge,19,8,3,1,4,15,17,-2,10,PO,2026/1/30,クルブ・ブルッヘ,2,,
2025-26,galatasaray,20,8,3,1,4,9,11,-2,10,KP,2026/1/30,ガラタサライ,4,,
2025-26,monaco,21,8,2,4,2,8,14,-6,10,PO,2026/1/30,ASモナコ,4,,
2025-26,karabakh,22,8,3,1,4,13,21,-8,10,PO,2026/1/30,カラバフ,4,,
2025-26,bodo-glimt,23,8,2,3,3,14,15,-1,9,KP,2026/1/30,ボデ/グリムト,3,,
2025-26,benfica,24,8,3,0,5,10,12,-2,9,PO,2026/1/30,ベンフィカ,2,,
2025-26,marseille,25,8,3,0,5,11,14,-3,9,敗退,2026/1/30,オリンピック・マルセイユ,3,,
2025-26,pafos,26,8,2,3,3,8,11,-3,9,敗退,2026/1/30,パフォス,4,,
2025-26,saint-gilloise,27,8,3,0,5,8,17,-9,9,敗退,2026/1/30,ユニオンSG,4,,
2025-26,psv,28,8,2,2,4,16,16,0,8,敗退,2026/1/30,PSV,3,,
2025-26,athletic-bilbao,29,8,2,2,4,9,14,-5,8,敗退,2026/1/30,アスレティック・ビルバオ,4,,
2025-26,napoli,30,8,2,2,4,9,15,-6,8,敗退,2026/1/30,SSCナポリ,3,,
2025-26,copenhagen,31,8,2,2,4,12,21,-9,8,敗退,2026/1/30,コペンハーゲン,4,,
2025-26,ajax,32,8,2,0,6,8,21,-13,6,敗退,2026/1/30,アヤックス・アムステルダム,3,,
2025-26,eintracht-frankfurt,33,8,1,1,6,10,21,-11,4,敗退,2026/1/30,アイントラハト・フランクフルト,2,,
2025-26,slavia-praha,34,8,0,3,5,5,19,-14,3,敗退,2026/1/30,スラヴィア・プラハ,3,,
2025-26,villarreal,35,8,0,1,7,5,18,-13,1,敗退,2026/1/30,ビジャレアル,2,,
2025-26,kairat,36,8,0,1,7,7,22,-15,1,敗退,2026/1/30,カイラト,4,,
2026-27,paris-saint-germain,,,,,,,,,,,2026/8/27,PSG,1,,
2026-27,aston-villa,,,,,,,,,,,2026/8/27,アストン・ヴィラ,2,,
2026-27,arsenal,,,,,,,,,,,2026/8/27,アーセナル,1,,
2026-27,manchester-city,,,,,,,,,,,2026/8/27,マンチェスター・シティ,1,,
2026-27,manchester-united,,,,,,,,,,,2026/8/27,マンチェスター・ユナイテッド,2,,
2026-27,liverpool,,,,,,,,,,,2026/8/27,リヴァプール,1,,
2026-27,inter,,,,,,,,,,,2026/8/27,インテル・ミラノ,1,,
2026-27,napoli,,,,,,,,,,,2026/8/27,SSCナポリ,3,,
2026-27,roma,,,,,,,,,,,2026/8/27,ASローマ,2,,
2026-27,como,,,,,,,,,,,2026/8/27,コモ1907,4,,
2026-27,barcelona,,,,,,,,,,,2026/8/27,バルセロナ,1,,
2026-27,real-madrid,,,,,,,,,,,2026/8/27,レアル・マドリード,1,,
2026-27,atletico-madrid,,,,,,,,,,,2026/8/27,アトレティコ・マドリード,1,,
2026-27,villarreal,,,,,,,,,,,2026/8/27,ビジャレアル,3,,
2026-27,real-betis,,,,,,,,,,,2026/8/27,レアル・ベティス,2,,
2026-27,bayern-munich,,,,,,,,,,,2026/8/27,バイエルン・ミュンヘン,1,,
2026-27,borussia-dortmund,,,,,,,,,,,2026/8/27,ボルシア・ドルトムント,2,,
2026-27,rb-leipzig,,,,,,,,,,,2026/8/27,RBライプツィヒ,3,,
2026-27,stuttgart,,,,,,,,,,,2026/8/27,シュトゥットガルト,4,,
2026-27,rc-lens,,,,,,,,,,,2026/8/27,RCランス,4,,
2026-27,lille,,,,,,,,,,,2026/8/27,リール,3,,
2026-27,psv,,,,,,,,,,,2026/8/27,PSV,2,,
2026-27,feyenoord,,,,,,,,,,,2026/8/27,フェイエノールト,3,,
2026-27,porto,,,,,,,,,,,2026/8/27,FCポルト,2,,
2026-27,sporting,,,,,,,,,,,2026/8/27,スポルティングCP,2,,
2026-27,club-brugge,,,,,,,,,,,2026/8/27,クルブ・ブルッヘ,2,,
2026-27,slavia-praha,,,,,,,,,,,2026/8/27,スラヴィア・プラハ,4,,
2026-27,galatasaray,,,,,,,,,,,2026/8/27,ガラタサライ,3,,
