target,competition,edition,confederation,confederation_bucket,country,current_club,snapshot_date,source,name_en,birth_date,reason
callups_site.csv,WC,2026,AFC,AFC,イラン,アルミニウム・アラク,2026/1/9,Transfermarkt (copypaste),Mohammad Khalifeh,2004-08-19,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,セパハンFC,2026/1/9,Transfermarkt (copypaste),Mohammadreza Akhbari,1993-02-15,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,セパハンFC,2026/1/9,Transfermarkt (copypaste),Mohammadamin Hazbavi,2003-05-06,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,アフマト・グロズヌイ,2026/1/9,Transfermarkt (copypaste),Mohammadmehdi Zare,2003-01-25,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,エステグラルFC,2026/1/9,Transfermarkt (copypaste),Aref Aghasi,1997-01-02,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,ペルセポリスFC,2026/1/9,Transfermarkt (copypaste),Hossein Abarghouei,1996-07-08,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,セパハンFC,2026/1/9,Transfermarkt (copypaste),Arya Yousefi,2002-04-22,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,エステグラルFC,2026/1/9,Transfermarkt (copypaste),Saleh Hardani,1998-12-26,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,アル・ワフダ・アブダビ,2026/1/9,Transfermarkt (copypaste),Mohammad Ghorbani,2001-05-21,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,エステグラルFC,2026/1/9,Transfermarkt (copypaste),Amirmohammad Razzaghinia,2006-04-11,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,ペルセポリスFC,2026/1/9,Transfermarkt (copypaste),Mohammad Khodabandelou,1999-09-07,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,ヂナモ・マハチカラ,2026/1/9,Transfermarkt (copypaste),Mohammadjavad Hosseinnejad,2003-06-26,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,Chadormalu SC,2026/1/9,Transfermarkt (copypaste),Hadi Habibinejad,1995-10-17,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,エステグラルFC,2026/1/9,Transfermarkt (copypaste),Mehran Ahmadi,1997-12-26,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,エステグラルFC,2026/1/9,Transfermarkt (copypaste),Alireza Koushki,2000-02-16,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,トラークトゥールFC,2026/1/9,Transfermarkt (copypaste),Mehdi Hashemnejad,2001-10-27,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,ペルセポリスFC,2026/1/9,Transfermarkt (copypaste),Mohammad Omri,2000-03-12,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,ゴル・ゴハル・シールジャーン,2026/1/9,Transfermarkt (copypaste),Mehdi Tikdari,1996-06-13,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,カルバ FC,2026/1/9,Transfermarkt (copypaste),Mohammadmehdi Mohebi,2000-02-11,notfound
callups_site.csv,WC,2026,AFC,AFC,イラン,セパハンFC,2026/1/9,Transfermarkt (copypaste),Majid Aliyari,1996-03-02,no_ja
callups_site.csv,WC,2026,AFC,AFC,イラン,ペイカーンFC,2026/1/9,Transfermarkt (copypaste),Kasra Taheri,2006-08-06,ambiguous
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナサフ・カルシ,2026/1/9,Transfermarkt (copypaste),Abduvokhid Nematov,2001-03-20,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Vladimir Nazarov,2002-06-08,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ネフチ・フェルガナ,2026/1/9,Transfermarkt (copypaste),Botirali Ergashev,1995-06-23,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,チャイクル・リゼスポル,2026/1/9,Transfermarkt (copypaste),Khusniddin Alikulov,1999-04-04,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Mukhammadkodir Khamraliev,2001-07-06,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,Dinamo Samarqand,2026/1/9,Transfermarkt (copypaste),Jakhongir Urozov,2004-01-18,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナサフ・カルシ,2026/1/9,Transfermarkt (copypaste),Golib Gaybullaev,1996-01-22,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,FC OKMK アルマリク,2026/1/9,Transfermarkt (copypaste),Avazbek Ulmasaliev,2000-03-27,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナサフ・カルシ,2026/1/9,Transfermarkt (copypaste),Umar Eshmurodov,1992-11-30,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナサフ・カルシ,2026/1/9,Transfermarkt (copypaste),Alibek Davronov,2002-12-28,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナフバホール・ナマンガン,2026/1/9,Transfermarkt (copypaste),Dilshod Komilov,1999-05-16,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,FKアンディジャン,2026/1/9,Transfermarkt (copypaste),Islom Tukhtakhuzhaev,1989-10-30,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Sherzod Nasrullaev,1998-07-23,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ネフチ・フェルガナ,2026/1/9,Transfermarkt (copypaste),Ibrokhimkhalil Yuldoshev,2001-02-14,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ネフチ・フェルガナ,2026/1/9,Transfermarkt (copypaste),Farrukh Sayfiev,1991-01-17,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Khozhiakbar Alizhonov,1997-04-19,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナサフ・カルシ,2026/1/9,Transfermarkt (copypaste),Zafarmurod Abdirakhmatov,2003-04-28,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Dilshod Saitov,1999-02-02,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,トラークトゥールFC,2026/1/9,Transfermarkt (copypaste),Odildzhon Khamrobekov,1996-02-13,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,Dibba SCC,2026/1/9,Transfermarkt (copypaste),Abdulla Abdullaev,1997-09-01,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Abdurauf Buriev,2002-07-20,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ネフチ・フェルガナ,2026/1/9,Transfermarkt (copypaste),Abrorbek Ismoilov,1998-01-08,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナフバホール・ナマンガン,2026/1/9,Transfermarkt (copypaste),Diyor Kholmatov,2002-07-22,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ペルセポリスFC,2026/1/9,Transfermarkt (copypaste),Oston Urunov,2000-12-19,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Khozhimat Erkinov,2001-05-29,notfound
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,FKパリ・ニジニ・ノヴゴロド,2026/1/9,Transfermarkt (copypaste),Ruslanbek Jiyanov,2001-06-05,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ナサフ・カルシ,2026/1/9,Transfermarkt (copypaste),Sardorbek Bakhromov,2005-02-16,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ネフチ・フェルガナ,2026/1/9,Transfermarkt (copypaste),Alisher Odilov,2001-07-15,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,Dinamo Samarqand,2026/1/9,Transfermarkt (copypaste),Anvar Khozhimirzaev,1994-10-21,no_ja
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,ペルセポリスFC,2026/1/9,Transfermarkt (copypaste),Igor Sergeev,1993-04-30,ambiguous
callups_site.csv,WC,2026,AFC,AFC,ウズベキスタン,パフタコール・タシュケント,2026/1/9,Transfermarkt (copypaste),Rustam Turdimuradov,2004-04-04,no_ja
callups_site.csv,WC,2026,AFC,AFC,韓国,大田ハナシチズン,2026/1/9,Transfermarkt (copypaste),Chang-geun Lee,1993-08-30,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,FC東京,2026/1/9,Transfermarkt (copypaste),Seung-gyu Kim,1990-09-30,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,仁川ユナイテッド,2026/1/9,Transfermarkt (copypaste),Dong-heon Kim,1997-03-03,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,浦項スティーラース,2026/1/9,Transfermarkt (copypaste),Seung-wook Park,1997-05-07,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,サンフレッチェ広島F.C,2026/1/9,Transfermarkt (copypaste),Ju-sung Kim,2000-12-12,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,鹿島アントラーズ,2026/1/9,Transfermarkt (copypaste),Tae-hyeon Kim,2000-09-17,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,金泉尚武,2026/1/9,Transfermarkt (copypaste),Jun-soo Byeon,2001-11-30,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,FC安養,2026/1/9,Transfermarkt (copypaste),Kyung-won Kwon,1992-01-31,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,蔚山現代,2026/1/9,Transfermarkt (copypaste),Myeong-kwan Seo,2002-11-23,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,FKアウストリア・ウィーン,2026/1/9,Transfermarkt (copypaste),Tae-seok Lee,2002-07-28,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,全北現代モータース,2026/1/9,Transfermarkt (copypaste),Tae-hyeon Kim,1996-12-19,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,蔚山現代,2026/1/9,Transfermarkt (copypaste),Hyun-taek Cho,2001-08-02,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,大田ハナシチズン,2026/1/9,Transfermarkt (copypaste),Myung-jae Lee,1993-11-04,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,レッドスター・ベオグラード,2026/1/9,Transfermarkt (copypaste),Young-woo Seol,1998-12-05,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,FCソウル,2026/1/9,Transfermarkt (copypaste),Jun Choi,1999-04-17,no_ja
callups_site.csv,WC,2026,AFC,AFC,韓国,アル・アイン・アブダビ,2026/1/9,Transfermarkt (copypaste),Yong-woo Park,1993-09-10,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,浙江職業足球倶楽部,2026/1/9,Transfermarkt (copypaste),Jin-seob Park,1995-10-23,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,江原FC,2026/1/9,Transfermarkt (copypaste),Min-woo Seo,1998-03-12,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,大田ハナシチズン,2026/1/9,Transfermarkt (copypaste),Bong-soo Kim,1999-12-26,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,全北現代モータース,2026/1/9,Transfermarkt (copypaste),Sang-yun Kang,2004-05-31,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,ストーク・シティ,2026/1/9,Transfermarkt (copypaste),Jun-ho Bae,2003-08-21,no_ja
callups_site.csv,WC,2026,AFC,AFC,韓国,江原FC,2026/1/9,Transfermarkt (copypaste),Seung-won Lee,2003-03-06,no_ja
callups_site.csv,WC,2026,AFC,AFC,韓国,スウォンジー・シティ,2026/1/9,Transfermarkt (copypaste),Ji-sung Eom,2002-05-09,no_ja
callups_site.csv,WC,2026,AFC,AFC,韓国,FCソウル,2026/1/9,Transfermarkt (copypaste),Seon-min Moon,1992-06-09,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,江原FC,2026/1/9,Transfermarkt (copypaste),Jae-hyeon Mo,1996-09-24,notfound
callups_site.csv,WC,2026,AFC,AFC,韓国,セントルイス・シティーSC,2026/1/9,Transfermarkt (copypaste),Sang-bin Jeong,2002-04-01,no_ja
callups_site.csv,WC,2026,AFC,AFC,韓国,浦項スティーラース,2026/1/9,Transfermarkt (copypaste),Ho-jae Lee,2000-10-14,notfound
